Index,C Log P,TPSA,Molecular Weight,nON,nOHNH,ROTB,Molecular Volume,Predicted_Output_supervisedModel,Prediction_ANNModel
492,4.06,77.34,446.56,8,1,9,420.14,0,0
493,2.99,83.17,487.51,9,1,6,420.04,0,0
494,6.17,105.24,558.15,8,3,9,499.36,0,0
495,5.06,85.86,584.11,9,2,8,528.37,0,0
496,1.73,110.08,406.42,8,2,0,350.22,1,0
497,4.99,97.63,529.53,8,2,7,446.63,0,0
498,3.5,99.18,440.51,8,2,5,396.71,0,0
499,2.26,118.52,465.52,9,3,4,413.29,1,0
500,-2.08,112.14,268.27,8,4,2,229.99,1,1
501,6,0,320.05,0,0,3,243.25,0,0
502,3.92,20.31,295.43,2,0,7,303.81,0,0
503,0.8,75.27,232.24,5,2,2,204.82,1,1
504,-1.31,58.92,146.14,4,2,0,125.87,1,1
505,4.87,92.52,422.92,7,2,8,374.12,0,0
506,0.92,71.11,337.35,7,1,4,295.4,1,1
507,3.66,40.46,296.41,2,2,0,290.67,0,0
508,4.35,92.78,776.87,5,4,5,340.33,0,0
509,2.92,74.6,427.37,4,2,2,372.19,0,0
510,2.73,86.2,314.37,5,2,3,263.55,1,1
511,2.73,86.2,314.37,5,2,3,263.55,1,1
512,0.28,32.86,163.15,2,1,0,136.94,1,1
513,6.56,35.54,354.49,3,0,8,363.39,0,0
